SecId,PerformanceId,ExchangeId,Ticker,Date,Inception_Date,Extracted_Title,Present_In,Players
F00001UFT2,0P00021D6Z,EX$$$$XNAS,HQDG,2026-09-04,2026-09-03,Raub Brock Dividend Growth ETF,"NASDAQ, Morningstar-SQL",wsj
F00001UFT2,0P00021D6Z,EX$$$$XNAS,HQDG,2026-09-04,2026-09-03,Raub Brock Dividend Growth ETF,"NASDAQ, Morningstar-SQL",Barrons
F00001UFT2,0P00021D6Z,EX$$$$XNAS,HQDG,2026-09-04,2026-09-03,Raub Brock Dividend Growth ETF,"NASDAQ, Morningstar-SQL",Marketwatch
F00001UFT2,0P00021D6Z,EX$$$$XNAS,HQDG,2026-09-04,2026-09-03,Raub Brock Dividend Growth ETF,"NASDAQ, Morningstar-SQL",ETFDB
F00001UFT2,0P00021D6Z,EX$$$$XNAS,HQDG,2026-09-04,2026-09-03,Raub Brock Dividend Growth ETF,"NASDAQ, Morningstar-SQL",ETF
F00001UFT2,0P00021D6Z,EX$$$$XNAS,HQDG,2026-09-04,2026-09-03,Raub Brock Dividend Growth ETF,"NASDAQ, Morningstar-SQL",Bloomberg
F00002JO0S,0P00035NJR,EX$$$$XNAS,AIFR,2026-09-03,2026-09-09,Defiance Global Foundries ETF,Morningstar-SQL,wsj
F00002JO0S,0P00035NJR,EX$$$$XNAS,AIFR,2026-09-03,2026-09-09,Defiance Global Foundries ETF,Morningstar-SQL,Barrons
F00002JO0S,0P00035NJR,EX$$$$XNAS,AIFR,2026-09-03,2026-09-09,Defiance Global Foundries ETF,Morningstar-SQL,Marketwatch
F00002JO0S,0P00035NJR,EX$$$$XNAS,AIFR,2026-09-03,2026-09-09,Defiance Global Foundries ETF,Morningstar-SQL,ETFDB
F00002JO0S,0P00035NJR,EX$$$$XNAS,AIFR,2026-09-03,2026-09-09,Defiance Global Foundries ETF,Morningstar-SQL,ETF
F00002JO0S,0P00035NJR,EX$$$$XNAS,AIFR,2026-09-03,2026-09-09,Defiance Global Foundries ETF,Morningstar-SQL,Bloomberg
F00002JRJN,0P00035UTJ,EX$$$$ARCX,PJIN,2026-09-04,2026-09-01,PGIM Jennison International Core Eq ETF,"NYSE, Morningstar-SQL",wsj
