SecId,PerformanceId,ExchangeId,Ticker,Date,Inception_Date,Extracted_Title,Present_In,Players
F00002JRJN,0P00035UTJ,EX$$$$ARCX,PJIN,2026-09-04,2026-09-01,PGIM Jennison International Core Eq ETF,"NYSE, Morningstar-SQL",Barrons
F00002JRJN,0P00035UTJ,EX$$$$ARCX,PJIN,2026-09-04,2026-09-01,PGIM Jennison International Core Eq ETF,"NYSE, Morningstar-SQL",Marketwatch
F00002JRJN,0P00035UTJ,EX$$$$ARCX,PJIN,2026-09-04,2026-09-01,PGIM Jennison International Core Eq ETF,"NYSE, Morningstar-SQL",ETFDB
F00002JRJN,0P00035UTJ,EX$$$$ARCX,PJIN,2026-09-04,2026-09-01,PGIM Jennison International Core Eq ETF,"NYSE, Morningstar-SQL",ETF
F00002JRJN,0P00035UTJ,EX$$$$ARCX,PJIN,2026-09-04,2026-09-01,PGIM Jennison International Core Eq ETF,"NYSE, Morningstar-SQL",Bloomberg
F00002JRR3,0P00035V3A,EX$$$$XNAS,CRAM,2026-09-03,2026-09-09,Defiance China Memory ETF,Morningstar-SQL,wsj
F00002JRR3,0P00035V3A,EX$$$$XNAS,CRAM,2026-09-03,2026-09-09,Defiance China Memory ETF,Morningstar-SQL,Barrons
F00002JRR3,0P00035V3A,EX$$$$XNAS,CRAM,2026-09-03,2026-09-09,Defiance China Memory ETF,Morningstar-SQL,Marketwatch
F00002JRR3,0P00035V3A,EX$$$$XNAS,CRAM,2026-09-03,2026-09-09,Defiance China Memory ETF,Morningstar-SQL,ETFDB
F00002JRR3,0P00035V3A,EX$$$$XNAS,CRAM,2026-09-03,2026-09-09,Defiance China Memory ETF,Morningstar-SQL,ETF
F00002JRR3,0P00035V3A,EX$$$$XNAS,CRAM,2026-09-03,2026-09-09,Defiance China Memory ETF,Morningstar-SQL,Bloomberg
,,,UCBG,09/02/2026,,State Street® SPDR® UC Investments 90/10 Endowment Strategy Index ETF,NYSE,wsj
,,,UCBG,09/02/2026,,State Street® SPDR® UC Investments 90/10 Endowment Strategy Index ETF,NYSE,Barrons
,,,UCBG,09/02/2026,,State Street® SPDR® UC Investments 90/10 Endowment Strategy Index ETF,NYSE,Marketwatch
,,,UCBG,09/02/2026,,State Street® SPDR® UC Investments 90/10 Endowment Strategy Index ETF,NYSE,ETFDB
,,,UCBG,09/02/2026,,State Street® SPDR® UC Investments 90/10 Endowment Strategy Index ETF,NYSE,ETF
,,,UCBG,09/02/2026,,State Street® SPDR® UC Investments 90/10 Endowment Strategy Index ETF,NYSE,Bloomberg
,,,DIVH,09/02/2026,,Integrity Dividend Harvest ETF,NYSE,wsj
,,,DIVH,09/02/2026,,Integrity Dividend Harvest ETF,NYSE,Barrons
,,,DIVH,09/02/2026,,Integrity Dividend Harvest ETF,NYSE,Marketwatch
,,,DIVH,09/02/2026,,Integrity Dividend Harvest ETF,NYSE,ETFDB
,,,DIVH,09/02/2026,,Integrity Dividend Harvest ETF,NYSE,ETF
,,,DIVH,09/02/2026,,Integrity Dividend Harvest ETF,NYSE,Bloomberg
,,,VOOY,09/02/2026,,XFUNDS Large Cap Income ETF,NYSE,wsj
,,,VOOY,09/02/2026,,XFUNDS Large Cap Income ETF,NYSE,Barrons
,,,VOOY,09/02/2026,,XFUNDS Large Cap Income ETF,NYSE,Marketwatch
,,,VOOY,09/02/2026,,XFUNDS Large Cap Income ETF,NYSE,ETFDB
,,,VOOY,09/02/2026,,XFUNDS Large Cap Income ETF,NYSE,ETF
,,,VOOY,09/02/2026,,XFUNDS Large Cap Income ETF,NYSE,Bloomberg
,,,PJSM,09/03/2026,,PGIM Jennison Small-Mid Cap Core Equity ETF,NYSE,wsj
,,,PJSM,09/03/2026,,PGIM Jennison Small-Mid Cap Core Equity ETF,NYSE,Barrons
,,,PJSM,09/03/2026,,PGIM Jennison Small-Mid Cap Core Equity ETF,NYSE,Marketwatch
,,,PJSM,09/03/2026,,PGIM Jennison Small-Mid Cap Core Equity ETF,NYSE,ETFDB
,,,PJSM,09/03/2026,,PGIM Jennison Small-Mid Cap Core Equity ETF,NYSE,ETF
,,,PJSM,09/03/2026,,PGIM Jennison Small-Mid Cap Core Equity ETF,NYSE,Bloomberg
,,,TSCZ,09/03/2026,,T. Rowe Price Securitized Income ETF,NYSE,wsj
,,,TSCZ,09/03/2026,,T. Rowe Price Securitized Income ETF,NYSE,Barrons
,,,TSCZ,09/03/2026,,T. Rowe Price Securitized Income ETF,NYSE,Marketwatch
,,,TSCZ,09/03/2026,,T. Rowe Price Securitized Income ETF,NYSE,ETFDB
,,,TSCZ,09/03/2026,,T. Rowe Price Securitized Income ETF,NYSE,ETF
,,,TSCZ,09/03/2026,,T. Rowe Price Securitized Income ETF,NYSE,Bloomberg
,,,SKHQ,2026-09-02,,Leverage Shares 2X Short Sk Hynix Daily ETF,CBOE,wsj
,,,SKHQ,2026-09-02,,Leverage Shares 2X Short Sk Hynix Daily ETF,CBOE,Barrons
,,,SKHQ,2026-09-02,,Leverage Shares 2X Short Sk Hynix Daily ETF,CBOE,Marketwatch
,,,SKHQ,2026-09-02,,Leverage Shares 2X Short Sk Hynix Daily ETF,CBOE,ETFDB
,,,SKHQ,2026-09-02,,Leverage Shares 2X Short Sk Hynix Daily ETF,CBOE,ETF
,,,SKHQ,2026-09-02,,Leverage Shares 2X Short Sk Hynix Daily ETF,CBOE,Bloomberg
